li65txt	NA	2017	0	0.04	La cuerda es fuerte, es una cuerda gruesa.	Una sonrisa es una expresión que tú tienes en tu cara cuando estás agradecido, entretenido, o cuando estás siendo amistoso.
li65txt	NA	2017	1	0.02	Un gallo es un pollo macho adulto.	Una travesía es un largo viaje en barco o en una nave espacial.
li65txt	NA	2017	2	0.05	El mediodía es a las 12:00 en mitad del día.	Una cuerda es un cordón fino hecho de hilos torcidos, usado para atar cosas juntas o amarrar paquetes.
li65txt	NA	2017	3	0.19	La fruta es algo que crece en un árbol o arbusto y que contiene semillas o una pepa cubierta por una sustancia que tú puedes comer.	Un horno es un contenedor o espacio cerrado en el cual se hace un fuego muy caliente, por ejemplo para derretir metal, quemar basura o producir vapor.
li65txt	NA	2017	4	0.02	Un autógrafo es una firma de alguien famoso que es específicamente escrito para que un fanático la conserve.	Las costas o costa de un mar, lago o extenso río es la tierra a lo largo del borde de estos.
li65txt	NA	2017	5	0.08	Un automóbil es un carro.	En las legendas e historias de hadas, un mago es un hombre que tiene poderes mágicos.
li65txt	NA	2017	6	0.02	Un montón de algo es una gran pila redondeada de esto.	Una cocina es una pieza de un equipo que proporciona calor, ya sea para cocinar o para calentar una habitación.
li65txt	NA	2017	7	0.02	Una risa es una sonrisa de oreja a oreja.	Un instrumento es una herramienta u otra pieza del equipo.
li65txt	NA	2017	8	0.02	Un Asilo es un hospital psiquiátrico.	La fruta es algo que crece en un árbol o arbusto y que contiene semillas o una pepa cubierta por una sustancia que tú puedes comer.
li65txt	NA	2017	9	0.15	Un Asilo es un hospital psiquiátrico.	Un monje es un miembro de una comunidad religiosa masculina que suele ser separada del mundo exterior.
li65txt	NA	2017	10	0.09	Un cementerio es un área de terreno, a veces cerca de una iglesia, donde son sepultadas las personas muertas.	Si tú describes un lugar o situación como un manicomio, significa que está llena de confusión y ruido.
li65txt	NA	2017	11	0.03	El vidrio es una sustancia transparente y dura que se utiliza para hacer cosas como ventanas y botellas.	Un mago es una persona que entretiene a las personas haciendo trucos de magia.
li65txt	NA	2017	12	0.43	Un muchacho es un niño que crecerá para ser un hombre	Un gallo es un pollo macho adulto.
li65txt	NA	2017	13	0.21	Un cojín es una funda de tela llena de material suave, la cual pones en un sillón para hacerlo más cómodo.	Una gema es una piedra preciosa utilizada para decorar cosas valiosas que usas, tales como anillos o collares.
li65txt	NA	2017	14	0.18	Un monje es un miembro de una comunidad religiosa masculina que suele ser separada del mundo exterior.	Un esclavo es alguien que es propiedad de otra persona y tiene que trabajar para esa persona.
li65txt	NA	2017	15	0.15	Un Asilo es un hospital psiquiátrico.	Un cementerio es un lugar donde los cuerpos de las personas muertas o sus cenizas son sepultadas.
li65txt	NA	2017	16	0.19	La costa es un área de terreno que está junto al mar.	Un bosque es una área extensa donde crecen árboles cercanos unos a otros.
li65txt	NA	2017	17	0.05	Una risa es una sonrisa de oreja a oreja.	Un muchacho es un joven o un niño.
li65txt	NA	2017	18	0.33	Las costas o costa de un mar, lago o extenso río es la tierra a lo largo del borde de estos.	Un bosque es un lugar con muchos árboles.
li65txt	NA	2017	19	0.45	Un monje es un miembro de una comunidad religiosa masculina que suele ser separada del mundo exterior.	En la antiguedad, un oráculo era un sacerdote o sacerdotisa que formulaban declaraciones sobre eventos futuros o sobre la Verdad.
li65txt	NA	2017	20	0.17	Un muchacho es un niño que crecerá para ser un hombre	Un sabio es una persona que es reconocida por ser muy inteligente.
