track4aes-en	NA	2017	0	1.400000	La gente muestra su afecto el uno por el otro.	A women giving something to other lady.
track4aes-en	NA	2017	1	4.400000	Dos niños están bailando	Kids are dancing.
track4aes-en	NA	2017	2	1.400000	Dos pescadores caminando a trabajar por el muelle.	Two children play in the water by a pier and building.
track4aes-en	NA	2017	3	0.600000	La niña está intentando golpear una piñata.	A sad boy in a surfing shirt is swinging on a swing.
track4aes-en	NA	2017	4	1.000000	Un perro de rastreo está olfateando al grupo tratando de encontrar el olor del criminal.	The woman is sniffing the other.
track4aes-en	NA	2017	5	3.000000	Los ponis son amistosos.	The ponies are in love
track4aes-en	NA	2017	6	0.800000	Un gran grupo de atletas de triatlón están compitiendo en una carrera por las calles de la ciudad.	A group of outdoor enthusiasts are traveling as a group to their campsite up in the mountains.
track4aes-en	NA	2017	7	1.800000	Un grupo de personas está descansando cerca de colinas y acantilados.	A group of girls are overlooking the water.
track4aes-en	NA	2017	8	4.600000	Un adulto y un niño están arruinando sus uñas.	An adult and a child sitting down and both are biting their fingernails.
track4aes-en	NA	2017	9	1.600000	La gente está comprando verduras.	Some of the people are shopping for clothes.
track4aes-en	NA	2017	10	4.600000	Un hombre toca la guitarra mientras otro toca la batería en un escenario.	The man is playing a guitar while another plays the drums behind him.
track4aes-en	NA	2017	11	2.400000	El grupo de hombres compitió.	The group of men are from Chippendales.
track4aes-en	NA	2017	12	4.000000	Hay una multitud muy grande viendo la presentación	There is a crowd watching a performance.
track4aes-en	NA	2017	13	2.000000	Ellos están cantando también.	Two musicians are completely out of tune.
track4aes-en	NA	2017	14	2.600000	Hay una señora llevando a niños en sus dos manos.	The woman's hands are full with what she is carrying.
track4aes-en	NA	2017	15	3.200000	Mucha gente está descansando en la hierba.	The people are sleeping in the grass.
track4aes-en	NA	2017	16	4.200000	La mujer camina sola en la acera.	A woman walks on the sidewalk.
track4aes-en	NA	2017	17	2.000000	Un pianista y un cantante están listos para actuar.	The musician have a guitar and is waiting to perform.
track4aes-en	NA	2017	18	5.000000	Ellos están solos.	They are alone.
track4aes-en	NA	2017	19	1.600000	Un cigarrillo es luz.	A man is smoking a cigarette and holding a honeycomb.
track4aes-en	NA	2017	20	4.200000	Un niño está en un edificio de oficinas.	A child is in an office building.
track4aes-en	NA	2017	21	0.600000	Un mono come	the kid eats a frog
track4aes-en	NA	2017	22	3.600000	Un perro salta sobre los obstáculos para un show canino.	A dog jumps over something.
track4aes-en	NA	2017	23	3.600000	Un hombre está sosteniendo sombreros tratando de venderlos en la calle.	A man tries to sell something on the street.
track4aes-en	NA	2017	24	4.400000	Los árboles son todos exuberantes y verdes.	All of the trees are green with freshly bloomed leaves.
track4aes-en	NA	2017	25	1.400000	Una mujer mayor se sienta al lado de una niña pequeña que está usando un vestido de rayas.	A woman is dressed up.
track4aes-en	NA	2017	26	4.400000	Ellos están viendo a su equipo favorito jugar.	They are cheering for their favorite team.
track4aes-en	NA	2017	27	3.200000	Puedes ver más de un perro en la foto.	You can see that there is more than one animal in the shot.
track4aes-en	NA	2017	28	3.200000	Un hombre que lleva un casco montando su bicicleta por la calle.	A man is riding a blue bicycle helmet down a busy street.
track4aes-en	NA	2017	29	1.600000	Una mujer se sienta mientras toca una guitarra.	A woman is playing a piano.
track4aes-en	NA	2017	30	4.400000	Una mujer mira a otra persona.	A woman is looking at a person.
track4aes-en	NA	2017	31	1.200000	La policía está tratando de ayudar a la gente.	The people are trying to get home.
track4aes-en	NA	2017	32	1.800000	Un niño con un chupete en su boca está sentado en una maleta.	A child in a stroller with a pacifier in its mouth.
track4aes-en	NA	2017	33	4.800000	Hay personas participando en natación competitiva.	These people are swimming in a competition.
track4aes-en	NA	2017	34	2.200000	Un grupo de personas está sentado discutiendo algo.	There is a group of people standing around, looking like they are waiting for something.
track4aes-en	NA	2017	35	4.000000	Un grupo de personas posando fuera de un edificio para una sesión de fotos de una revista.	A group of people pose for a photograph.
track4aes-en	NA	2017	36	2.600000	Un grupo de tres jóvenes adultos se detuvo para posar para una foto fuera de una tienda de ropa.	The children are taking a picture outside.
track4aes-en	NA	2017	37	2.000000	Una chica corre por la calle.	A boy runs down the street.
track4aes-en	NA	2017	38	4.600000	Un hombre joven que gira un destornillador.	A young person turning a screwdriver.
track4aes-en	NA	2017	39	0.400000	Un niño está con su mascota.	A man holding a child and a baby.
track4aes-en	NA	2017	40	0.000000	Un hombre vuela sobre una alfombra.	Dogs pull a man on a sled down a hill.
track4aes-en	NA	2017	41	2.400000	La mujer está llorando mientras toca la guitarra.	The man is singing and the woman is playing guitar.
track4aes-en	NA	2017	42	0.600000	El niño salta al otro colchón.	The child is holding the toys up to his eyes.
track4aes-en	NA	2017	43	1.400000	Un muchacho sin camisa está tomando la siesta en la hierba.	A boy walking in the grass.
track4aes-en	NA	2017	44	3.000000	Un hombre duerme en su cama.	An old person sleeps in a bed.
track4aes-en	NA	2017	45	3.800000	El perro blanco está recibiendo un baño en los peluqueros caninos.	The white dog is taking a bath
track4aes-en	NA	2017	46	2.200000	Una mujer leyendo mientras espera un tren.	A man is reading while waiting for a bus.
track4aes-en	NA	2017	47	1.000000	Un hombre asiático de pie junto a una puerta apunta a algo.	A person stands with their back to us.
track4aes-en	NA	2017	48	2.000000	Una mujer y una jovencita están sentadas en una mesa en un restaurante.	a woman and a boy are sitting at a table
track4aes-en	NA	2017	49	0.200000	El hombre usa tanga y está de pie sobre el taburete.	A man wearing tan pants and blue shirt is sitting on a sidewalk resting.
track4aes-en	NA	2017	50	3.600000	Una niña está leyendo sobre trenes.	There is a girl reading.
track4aes-en	NA	2017	51	0.200000	Los animales están domesticados.	The dogs are reptiles.
